종목코드,종목명,시가총액
35610,솔본,"115,126,647,370"
357780,솔브레인,"2,248,005,574,000"
36830,솔브레인홀딩스,"911,936,436,000"
304100,솔트룩스,"407,755,084,800"
328380,솔트웨어,"33,714,573,552"
86980,쇼박스,"170,062,170,000"
50960,수산아이앤티,"70,885,500,000"
84180,수성웹툰,"66,422,990,025"
253840,수젠텍,"116,030,376,000"
298830,슈어소프트테크,"252,045,302,190"
236200,슈프리마,"252,915,964,050"
94840,슈프리마에이치큐,"70,789,638,400"
192440,슈피겐코리아,"149,192,712,000"
424960,스마트레이더시스템,"137,647,045,200"
99440,스맥,"295,835,112,990"
276040,스코넥,"36,274,071,795"
60240,스타코링크,"11,502,414,560"
115570,스타플렉스,"23,115,150,660"
330730,스톤브릿지벤처스,"78,502,339,750"
352090,스톰테크,"99,833,187,570"
253450,스튜디오드래곤,"1,400,726,006,800"
408900,스튜디오미르,"143,682,645,480"
204630,스튜디오산타클로스,"23,668,225,650"
415380,스튜디오삼익,"14,685,151,250"
